======================================================================
NEURAL CRYPTOGRAPHY TRAINING RESULTS
======================================================================

Hyperparameters
Epochs      : 1000
Batch Size  : 256
Message Len : 64
Key Len     : 64
Learning Rate : 0.0008

Epoch 0001 | Bob=0.5061 | Eve=0.5061 | Gap=0.0000 | BobLoss=1.0011 | EveLoss=1.0016 | ABLoss=1.0011 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0002 | Bob=0.4988 | Eve=0.4988 | Gap=0.0000 | BobLoss=1.0030 | EveLoss=0.9984 | ABLoss=1.0030 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0003 | Bob=0.4958 | Eve=0.4958 | Gap=0.0000 | BobLoss=0.9971 | EveLoss=1.0016 | ABLoss=0.9971 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0004 | Bob=0.5017 | Eve=0.5017 | Gap=0.0000 | BobLoss=0.9963 | EveLoss=1.0018 | ABLoss=0.9964 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0005 | Bob=0.5058 | Eve=0.5058 | Gap=0.0000 | BobLoss=1.0008 | EveLoss=1.0019 | ABLoss=1.0008 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0006 | Bob=0.5045 | Eve=0.5045 | Gap=0.0000 | BobLoss=0.9955 | EveLoss=1.0019 | ABLoss=0.9955 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0007 | Bob=0.5003 | Eve=0.5003 | Gap=0.0000 | BobLoss=0.9995 | EveLoss=1.0013 | ABLoss=0.9995 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0008 | Bob=0.5010 | Eve=0.5010 | Gap=0.0000 | BobLoss=1.0035 | EveLoss=0.9976 | ABLoss=1.0036 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0009 | Bob=0.5010 | Eve=0.5010 | Gap=0.0000 | BobLoss=0.9987 | EveLoss=0.9957 | ABLoss=0.9987 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0010 | Bob=0.5023 | Eve=0.5023 | Gap=0.0000 | BobLoss=0.9986 | EveLoss=1.0024 | ABLoss=0.9986 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0011 | Bob=0.5005 | Eve=0.5005 | Gap=0.0000 | BobLoss=0.9974 | EveLoss=1.0015 | ABLoss=0.9974 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0012 | Bob=0.5004 | Eve=0.5004 | Gap=0.0000 | BobLoss=1.0055 | EveLoss=1.0013 | ABLoss=1.0055 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0013 | Bob=0.5042 | Eve=0.5042 | Gap=0.0000 | BobLoss=0.9991 | EveLoss=0.9991 | ABLoss=0.9991 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0014 | Bob=0.5018 | Eve=0.5018 | Gap=0.0000 | BobLoss=1.0052 | EveLoss=0.9989 | ABLoss=1.0052 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0015 | Bob=0.5004 | Eve=0.5004 | Gap=0.0000 | BobLoss=1.0027 | EveLoss=1.0011 | ABLoss=1.0027 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0016 | Bob=0.4929 | Eve=0.4929 | Gap=0.0000 | BobLoss=1.0013 | EveLoss=1.0051 | ABLoss=1.0013 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0017 | Bob=0.4966 | Eve=0.4966 | Gap=0.0000 | BobLoss=1.0041 | EveLoss=1.0004 | ABLoss=1.0041 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0018 | Bob=0.4980 | Eve=0.4980 | Gap=0.0000 | BobLoss=0.9986 | EveLoss=0.9983 | ABLoss=0.9986 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0019 | Bob=0.4948 | Eve=0.4948 | Gap=0.0000 | BobLoss=0.9949 | EveLoss=0.9972 | ABLoss=0.9949 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0020 | Bob=0.4985 | Eve=0.4985 | Gap=0.0000 | BobLoss=1.0020 | EveLoss=1.0001 | ABLoss=1.0020 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0021 | Bob=0.4990 | Eve=0.4990 | Gap=0.0000 | BobLoss=0.9991 | EveLoss=1.0015 | ABLoss=0.9991 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0022 | Bob=0.4927 | Eve=0.4927 | Gap=0.0000 | BobLoss=1.0012 | EveLoss=0.9967 | ABLoss=1.0012 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0023 | Bob=0.5028 | Eve=0.5028 | Gap=0.0000 | BobLoss=0.9956 | EveLoss=0.9975 | ABLoss=0.9956 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0024 | Bob=0.5032 | Eve=0.5032 | Gap=0.0000 | BobLoss=1.0036 | EveLoss=0.9992 | ABLoss=1.0036 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0025 | Bob=0.5061 | Eve=0.5061 | Gap=0.0000 | BobLoss=0.9966 | EveLoss=0.9983 | ABLoss=0.9966 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0026 | Bob=0.5056 | Eve=0.5056 | Gap=0.0000 | BobLoss=0.9956 | EveLoss=1.0017 | ABLoss=0.9956 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0027 | Bob=0.4951 | Eve=0.4951 | Gap=0.0000 | BobLoss=0.9951 | EveLoss=1.0023 | ABLoss=0.9951 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0028 | Bob=0.4942 | Eve=0.4942 | Gap=0.0000 | BobLoss=0.9998 | EveLoss=0.9996 | ABLoss=0.9998 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0029 | Bob=0.5037 | Eve=0.5037 | Gap=0.0000 | BobLoss=0.9996 | EveLoss=0.9982 | ABLoss=0.9996 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0030 | Bob=0.4952 | Eve=0.4952 | Gap=0.0000 | BobLoss=0.9992 | EveLoss=0.9978 | ABLoss=0.9992 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0031 | Bob=0.4968 | Eve=0.4968 | Gap=0.0000 | BobLoss=1.0014 | EveLoss=1.0007 | ABLoss=1.0014 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0032 | Bob=0.4969 | Eve=0.4969 | Gap=0.0000 | BobLoss=1.0035 | EveLoss=1.0032 | ABLoss=1.0035 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0033 | Bob=0.4995 | Eve=0.4995 | Gap=0.0000 | BobLoss=1.0078 | EveLoss=1.0017 | ABLoss=1.0078 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0034 | Bob=0.5043 | Eve=0.5043 | Gap=0.0000 | BobLoss=1.0032 | EveLoss=0.9997 | ABLoss=1.0032 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0035 | Bob=0.5084 | Eve=0.5084 | Gap=0.0000 | BobLoss=0.9957 | EveLoss=1.0041 | ABLoss=0.9957 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0036 | Bob=0.5031 | Eve=0.5031 | Gap=0.0000 | BobLoss=1.0003 | EveLoss=1.0014 | ABLoss=1.0003 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0037 | Bob=0.5051 | Eve=0.5051 | Gap=0.0000 | BobLoss=0.9927 | EveLoss=0.9994 | ABLoss=0.9927 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0038 | Bob=0.4971 | Eve=0.4971 | Gap=0.0000 | BobLoss=1.0000 | EveLoss=0.9989 | ABLoss=1.0000 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0039 | Bob=0.4988 | Eve=0.4988 | Gap=0.0000 | BobLoss=1.0015 | EveLoss=0.9971 | ABLoss=1.0015 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0040 | Bob=0.4971 | Eve=0.4971 | Gap=0.0000 | BobLoss=1.0041 | EveLoss=0.9991 | ABLoss=1.0041 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0041 | Bob=0.4958 | Eve=0.4958 | Gap=0.0000 | BobLoss=0.9972 | EveLoss=0.9963 | ABLoss=0.9972 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0042 | Bob=0.4980 | Eve=0.4980 | Gap=0.0000 | BobLoss=1.0049 | EveLoss=1.0018 | ABLoss=1.0049 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0043 | Bob=0.5007 | Eve=0.5007 | Gap=0.0000 | BobLoss=1.0029 | EveLoss=0.9951 | ABLoss=1.0029 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0044 | Bob=0.4971 | Eve=0.4971 | Gap=0.0000 | BobLoss=0.9947 | EveLoss=0.9976 | ABLoss=0.9947 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0045 | Bob=0.5040 | Eve=0.5040 | Gap=0.0000 | BobLoss=1.0077 | EveLoss=0.9983 | ABLoss=1.0077 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0046 | Bob=0.4946 | Eve=0.4946 | Gap=0.0000 | BobLoss=1.0005 | EveLoss=1.0002 | ABLoss=1.0005 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0047 | Bob=0.5010 | Eve=0.5010 | Gap=0.0000 | BobLoss=0.9981 | EveLoss=1.0020 | ABLoss=0.9981 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0048 | Bob=0.4968 | Eve=0.4968 | Gap=0.0000 | BobLoss=1.0001 | EveLoss=1.0007 | ABLoss=1.0001 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0049 | Bob=0.4988 | Eve=0.4988 | Gap=0.0000 | BobLoss=0.9944 | EveLoss=1.0010 | ABLoss=0.9944 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0050 | Bob=0.5002 | Eve=0.5002 | Gap=0.0000 | BobLoss=1.0078 | EveLoss=1.0003 | ABLoss=1.0078 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0051 | Bob=0.5084 | Eve=0.5084 | Gap=0.0000 | BobLoss=0.9970 | EveLoss=1.0015 | ABLoss=0.9970 | AB_STEPS=2 | EVE_STEPS=1
Epoch 0052 | Bob=0.4995 | Eve=0.4995 | Gap=0.0000 | BobLoss=1.0005 | EveLoss=0.9965 | ABLoss=1.0005 | AB_STEPS=2 | EVE_STEPS=1
